Classe;Especificação;Nº de base
37;Tratamento antioxidante para veículos;370082
40;Tratamento antitraça para têxteis;400059
40;Tratamento antitraças para peles [peleteria];400030
40;Tratamento antivincos para roupas;400038
40;Tratamento de água;400025
40;Tratamento de lã;400039
40;Tratamento de lixo [transformação];400097
40;Tratamento de metal;400042
40;Tratamento de tecidos;400058
40;Tratamento de têxteis;400058
40;Tratamento para papel;400061
37;Tratamento, limpeza e conserto de couro;370034
41;Treinamento de animais;410005
41;Treinamento prático [demonstração];410061
40;Triagem de lixo e de material reciclável [transformação];400116
40;Upcycling [reciclagem de resíduos com a finalidade de transformá-los em novos materiais de maior valor ou qualidade, sem destruir-lhes a forma];400124
40;Urdidura [tear];400046
35;Venda de assinaturas de serviços de telecomunicações para terceiros;350094
35;Vendas de assinaturas de jornal [para terceiros];350076
36;Verificação de validade de cheque;360053
42;Vistoria de veículos automotores;420195
40;Vulcanização [tratamento de material];400101
37;Vulcanização de pneus [reparo];370113
